From/To,Name
KMIA,Miami International
NZAA,Auckland International
MPTO,Panama/Tocumen International
SCDA,Iquique/Diego Aracena Intl
SCAR,Arica/Chacalluta
SCCF,Calama/El Loa
SKBO,Bogota/El Dorado International
SCFA,Antofagasta/Andres Sabella International
SCIE,Concepcion/Carriel Sur International 
SPJC,Lima Callao/Jorge Chavez Intl
SUMU,Montevideo/Gen Cesareo L Berisso-Carrasco Intl
SBGL,Antonio Carlos Jobim/Galeao/Rio De Janeiro Intl
SBFL,Florianopolis/Floripa (Hercilio Luz International)
SCTE,Puerto Montt/El Tepual International
SCQP,Temuco/Freire/La Araucania
SKRG,Medellin - Rionegro/Jose Maria Cordova
SABE,Buenos Aires/Aeroparque Jorge Newbery
SACO,Cordoba/Ingeniero Ambrosio Taravella
LEMD,Madrid/Adolfo Suarez Madrid Barajas
KIAH,George Bush Intercontinental Houston
KATL,Hartsfield Jackson Atlanta International
KJFK,New York/John F Kennedy International
SBGR,Sao Paulo/Gov A F Montoro/Guarulhos Intl
KLAX,Los Angeles International
KDFW,Dallas-Fort Worth International
SAEZ,Buenos Aires/Ezeiza - Ministro Pistarini Intl
LEBL,Josep Tarradellas Barcelona-El Prat
ZZZZ,Privado/Sin especificar
SCCI,Punta Arenas/Pdte. Carlos Ibanez Del Campo
SEQM,New Quito International Mariscal Sucre
SLVR,Santa Cruz de la Sierra/Viru Viru International
SCKP,"Pica/Coposa, Chile"
SCBA,"Balmaceda, Chile"
SCPQ,"Dalcahue/Mocopulli, Chile"
SCHA,Copiapo/Chamonate
SCAT,Copiapo/Desierto de Atacama
SCVD,Valdivia/Pichoy
SCPC,Pucon
SCQT,Quebrada Las Tacas/Las Tacas
SCVM,Valparaiso/Vina Del Mar AB
YMML,Melbourne/Tullamarine
SKCL,Cali/Alfonso Bonilla Aragon
SCSE,La Serena/La Florida
SCCY,Coyhaique/Teniente Vidal
SEGU,Guayaquil/Jose Joaquin de Olmedo Intl
SCNT,Puerto Natales/Teniente Julio Gallardo
MMMX,Mexico City/Lic Benito Juarez International
SCJO,Osorno-Canal Bajo/Carlos Hott Siebert
CYYZ,Toronto Lester B Pearson International
SCES,El Salvador/Ricardo Garcia Posada-El Salvador Bajo
SCEL,Santiago Nuevo Pudahuel/Arturo Merino Benitez
LFPG,Paris Charles de Gaulle
SBFI,Foz do Iguacu/Cataratas International
SCIR,"Robinson Crusoe, Juan Fernández"
MDSD,Santo Domingo/Las Americas International
SLLP,La Paz/El Alto International
SCIP,Isla de Pascua/Mataveri International
SAME,Mendoza Intl/El Plumerillo
EGLL,London Heathrow
DNMM,"Lagos/Murtala Muhammed, Nigeria"
MMUN,Cancun International
SCTB,Santiago/Eulogio Sanchez-Tobalaba
SAZS,San Carlos de Bariloche
SCDK,"El Patagual, PVT"
SADF,"San Fernando, ARG"
SCBE,Tocopilla/Barriles
SCCM,"Choshuenco/Molco, CL"
SBKP,Campinas/Viracopos Intl
SBCF,Belo Horizonte/Tancredo Neves
YSSY,Sydney/Kingsford Smith
SCCH,Chillan/Gen Bernard O'Higgins
SPRU,Cap Carlos Martinez de Pinillos/Trujillo Intl
MGGT,Guatemala City/La Aurora International
SKCG,Cartagena/Rafael Nunez International
SCOV,Ovalle/El Tuqui
KMCO,Orlando International
SCLL,Vallenar
SDSC,Sao Carlos
SGES,Ciudad Del Este/Guarani International
SCOH,Villa O'Higgins/Rio Mayer
GVAC,Sal/Amilcar Cabral International
SAWH,Ushuaia/Malvinas Argentinas
SCVL,Valdivia/Las Marias
SCGE,Los Angeles/Maria Dolores
SCZB,"Pozo Brujo, CL"
MMSM,Gen Felipe Angeles Intl/Santa Lucia
SCNK,Cuncumen/Los Pelambres
MDPC,Higuey/Punta Cana International
SCRD,Valparaiso/Rodelillo
SBCT,Curitiba/Afonso Pena
NTAA,Tahiti/Faa'a
SCVI,Villarrica
SCER,Quintero AB
SGAS,Luque/Silvio Pettirossi International
SBPA,Porto Alegre/Salgado Filho Intl
SCKD,Rio Bueno/El Cardal
EGYP,"Mount Pleasant, Falkland Islands"
MDJB,La Isabella Dr Joaquin Balaguer International
SCTN,Chaiten/Nuevo Chaiten
SCTC,"Padre Las Casas, Temuco"
SANT,San Miguel de Tucuman/Teniente B. Matienzo
SUAA,Montevideo/Angel S Adami International
GCTS,Tenerife South/Reina Sofia
KOPF,Miami-Opa Locka Executive
SCAC,Ancud/Pupelde
KMCF,MacDill AFB
KLGA,"La Guardia, NY, USA"
SBFZ,Fortaleza Internacional/Pinto Martins
SACE,Cordoba/Escuela De Aviacion Militar
LFLL,Lyon Saint Exupery
CYVR,Vancouver International
SULS,Punta del Este/Laguna del Sauce
SCSM,"Misnal, Salar de Atacama"
SAZN,Neuquen/Presidente Peron
SCPE,San Pedro De Atacama
SPZO,Cusco/Teniente A Velazco Astete Intl
SBSG,Sao Goncalo do Amarante/Gov A Alves Natal Intl
SBRF,Recife/Guararapes-Gilberto Freyre Int
SCTL,"Panguilemo , Talca"
GOBD,Dakar/Blaise Diagne (Diass) International
SCNM,"Las Misiones, Cañete"
MROC,San Jose/Juan Santamaria Intl
MMTO,Toluca International Adolfo López Mateos
SBJH,Sao Paulo Catarina International Executive
KLEX,"Blue Grass, KY, USA"
SPQU,Arequipa/Alfredo Rodriguez Ballon
SASA,Salta/Gen. D Martin M de Guemez
SCRG,Rancagua/De La Independencia
KTEB,"Teterboro, NJ, USA"
SCVH,Colina/La Victoria de Chacabuco
SCVN,Vicuna/Huancara
LFBD,Bordeaux Merignac International
SBBE,Belem/Julio Cezar Ribeiro-Val De Cans Intl
SUCA,"Colonia/Laguna de Los Patos, Uruguay"
KFXE,Fort Lauderdale Executive
MPPA,Balboa/Panama Pacifico International
SAAR,Rosario/Islas Malvinas
EGBB,Birmingham International
SPSO,Pisco International
MMAA,Acapulco/Gen Juan Alvarez International
SBBR,Brasilia/Pres Juscelino Kubitschek Intl
SCTT,Taltal/Las Breas
SCTO,"Victoria, Araucanía"
KBED,"Laurence G Hanscom Field, MA, USA"
GCLP,Las Palmas/Gran Canaria
KFFO,"Wright Patterson, OH, USA"
SCBQ,Santiago/El Bosque
KTUS,Tucson International
SBPK,Pelotas/Joao Simoes Lopes Neto Intl
SBNF,Itajai/Ministro Victor Konder Intl
SCLC,Santiago/Municipal De Vitacura
KDAL,Dallas Love Field
SHCD,Helipuerto: Clínica Alemana Santiago
SBSV,Salvador/Dep Luis Eduardo Magalhaes Intl 
NTTB,Motu-Mute/Bora Bora
KHST,"Homestead ARB, FL, USA"
MMAN,Monterrey/Del Norte International
SANU,Domingo F Sarmiento/San Juan
SCNP,Nueva Pintacura
SAOC,Rio Cuarto/Area De Material
