Hour,DayOfWeek,Hour,Temp,A/D,Runway,Airline,From/To,Aircraft Type
21,5,21,8.9,0,0,4,31,4
11,3,11,17.2,0,1,0,24,6
8,2,8,8.0,0,0,5,10,1
5,3,5,7.8,0,0,21,3,14
11,2,11,14.1,0,0,0,6,0
6,2,6,8.6,0,0,1,1,1
2,2,2,14.6,0,0,0,6,6
14,6,14,28.5,0,0,31,63,12
10,4,10,23.3,0,1,0,30,6
23,3,23,8.7,0,0,0,26,6
8,2,8,2.7,0,0,5,10,1
0,1,0,12.8,0,0,16,32,14
4,4,4,6.5,0,0,0,31,5
13,3,13,17.5,0,0,0,8,6
22,2,22,21.7,0,0,5,29,4
19,0,19,14.2,0,0,5,18,1
8,3,8,16.1,0,0,0,42,6
8,2,8,9.1,0,0,4,12,1
4,5,4,15.4,0,0,0,26,5
14,3,14,11.6,0,0,4,10,1
7,1,7,11.3,0,0,0,25,5
5,3,5,14.1,0,0,0,31,6
11,5,11,10.4,0,0,20,19,15
7,3,7,8.6,0,0,4,6,5
10,2,10,17.2,0,0,0,29,5
16,0,16,25.0,0,0,0,3,6
5,5,5,12.8,0,0,21,3,5
19,4,19,24.6,0,1,5,18,5
1,2,1,12.5,0,0,1,1,1
1,0,1,14.1,0,0,6,7,8
20,1,20,6.6,0,0,0,7,5
15,2,15,21.3,0,0,11,60,3
8,4,8,6.2,0,0,5,10,1
7,3,7,8.0,0,0,0,25,5
9,3,9,21.1,0,1,0,16,0
12,1,12,27.1,0,1,5,5,5
5,3,5,8.1,0,0,0,7,6
8,1,8,15.7,0,1,0,4,5
13,2,13,28.5,0,0,0,48,5
15,2,15,11.6,0,0,1,1,14
5,5,5,14.5,0,0,0,10,6
9,1,9,9.6,0,0,0,30,6
8,0,8,3.4,0,0,0,29,6
15,6,15,15.8,0,0,13,4,5
7,0,7,13.4,0,1,20,19,15
9,4,9,11.8,0,0,14,19,12
15,0,15,10.0,0,0,5,20,1
4,4,4,8.4,0,0,0,31,6
20,0,20,22.7,0,1,0,26,6
13,2,13,18.0,0,0,0,13,6
21,0,21,7.6,0,0,18,34,11
8,0,8,3.0,0,0,6,18,27
10,4,10,12.8,0,0,0,19,0
23,1,23,17.2,0,0,19,15,0
5,6,5,8.4,0,0,5,23,1
5,1,5,10.3,0,0,0,8,6
15,6,15,18.1,0,0,13,4,5
0,4,0,7.9,0,0,0,1,7
20,3,20,25.1,0,1,0,10,5
10,2,10,16.6,0,0,0,29,5
15,2,15,20.7,0,0,0,44,5
10,4,10,8.8,0,0,5,14,1
8,5,8,1.2,0,0,6,18,8
13,2,13,13.6,0,0,0,3,5
6,4,6,4.3,0,0,4,6,1
16,6,16,16.6,0,0,0,3,0
23,4,23,17.6,0,0,13,6,5
10,0,10,16.2,0,1,22,19,15
1,2,1,8.0,0,0,0,46,0
7,1,7,15.1,0,1,25,51,23
14,0,14,19.9,0,0,5,6,1
13,4,13,28.9,0,1,0,12,5
6,0,6,9.7,0,0,25,52,23
10,6,10,10.0,0,0,0,61,0
9,2,9,11.5,0,0,0,18,5
16,4,16,16.1,0,0,0,22,7
16,2,16,17.6,0,1,0,7,5
5,4,5,14.9,0,0,5,5,5
6,3,6,12.3,0,1,4,23,1
5,4,5,15.0,0,0,0,26,5
4,3,4,1.8,0,0,0,31,6
12,4,12,16.2,0,0,13,6,6
13,1,13,23.6,0,0,0,11,6
7,5,7,11.4,0,0,0,8,5
4,1,4,2.1,0,0,0,26,6
3,0,3,6.7,0,0,3,3,3
10,1,10,18.8,0,0,0,19,7
8,1,8,9.0,0,0,21,3,5
7,1,7,9.3,0,0,0,13,5
21,3,21,9.6,1,2,0,6,6
17,0,17,18.0,0,0,4,31,4
14,5,14,16.2,0,0,0,3,6
12,4,12,11.4,1,2,31,72,12
7,3,7,18.2,0,0,0,83,5
10,5,10,19.7,0,0,0,17,5
11,5,11,25.3,0,0,0,31,6
14,6,14,15.5,0,0,4,44,4
8,5,8,8.5,0,0,0,4,5
23,1,23,12.6,0,0,0,35,0
9,5,9,3.0,0,0,4,20,4
1,0,1,11.9,0,0,0,0,0
18,2,18,23.0,0,0,20,19,15
16,4,16,27.1,0,0,0,31,6
12,4,12,15.1,0,0,0,12,6
21,1,21,13.5,0,0,18,34,11
11,3,11,12.7,0,0,0,12,6
14,6,14,11.9,0,0,0,3,6
15,1,15,29.2,0,1,4,31,4
18,3,18,25.8,0,0,0,25,6
17,3,17,14.0,0,0,5,9,1
14,1,14,11.2,1,2,0,23,5
12,1,12,23.0,0,1,0,10,5
16,4,16,16.8,0,0,0,14,5
22,4,22,7.3,0,0,16,32,14
4,3,4,0.9,0,0,0,31,6
0,1,0,8.4,0,0,0,1,7
6,3,6,17.0,0,0,0,26,6
12,3,12,9.2,0,0,0,5,6
5,0,5,11.9,0,0,0,10,6
14,5,14,20.1,0,0,21,3,5
8,2,8,10.7,0,0,0,29,5
7,2,7,1.2,0,0,0,9,5
17,0,17,22.5,0,0,0,12,5
