Airline (Name),Airline
LAN Airlines,LAN
Copa Airlines,CMP
Sky Airline,SKU
Qatar Airways,QTR
JAT Airways,JAT
Korean Air,KAL
LAN Peru,LPE
LAN Cargo,LCO
TAMPA Cargo,TPA
Atlas Air,GTI
Air China,CCA
American Airlines,AAL
United Airlines,UAL
Delta Air Lines,DAL
Iberia,IBE
Avianca,AVA
TAM Linhas Aereas,TAM
DHL Aero Expreso,DAE
Aerolineas Argentinas,ARG
Dalian Airlines,CCD
LAN Cargo Colombia,LAE
UPS Airlines,UPS
Ethiopian Airlines,ETH
LAN Ecuador,LNE
Aerovias DAP,DAP
Air Canada,ACA
Air France,AFR
KLM Royal Dutch Airlines,KLM
British Airways,BAW
Martinair,MPH
Estelar Latinoamerica,ETR
IRS Airlines,LVB
ACE Air Cargo,AER
Qantas,QFA
Northern Air Cargo,NAC
Aeromexico,AMX
National Airlines,NCR
Lufthansa Cargo,GEC
ZanAir,TAN
MasAir,MAA
Sky Lease Cargo,KYE
Flying Group,FYG
Cargojet Airways,CJT
Shree Airlines,SHA
Atlantic Airways (Faroe Islands),FLI
Andes Lineas Aereas,ANS
Travel Service Airlines,TVS
Air Class Lineas Aereas,QCL
Sideral Air Cargo,SID
ACM Air Charter Luftfahrt,BVR
Propair,PRO
Eagle Aviation GmbH,GER
Air Center Helicopters Inc,RAP
Cronos Airlines,CRA
Air Bagan,JAB
SATA Air Acores,SAT
Air China Cargo,CAO
Polet Airlines,POT
Sky Way Air,SAB
AirSprint,ASP
Royal Jet,ROJ
TAB Airlines,BOL
Cairo Aviation,CCE
EuroAirlines,ELE
VARIG - VRG Linhas Aereas,GLO
Precision Air,PRF
Meridian Airways,MAG
SAM Air,CCS
Sierra Pacific Airlines,SPA
Skytaxi,IGA
LAN Colombia,ARE
Aeroeste,ROE
Antonov Airlines,ADB
Vision Air International,VIS
Flexjets,LXJ
SunWest Aviation,CNK
Pascan Aviation,PSC
International Jet Management GmbH,IJM
Click Airways,CGK
Air Panama,PST
Air Transport Europe,EAT
FedEx,FDX
Amerijet International,AJT
FlightWorks Inc,FWK
Coyotair,COS
Sky Shuttle Helicopters,EMU
Hellenic Imperial Airways,IMP
SAP,PSV
Primera Air Scandinavia,PRI
Icelandair,ICE
Oriental Air Bridge,ORC
Turkish Airlines (THY),THY
Vietnam Airlines,HVN
Travel Service Slovakia,TVQ
Angara Airlines,AGU
China Cargo Airlines,CKK
Silk Way Airlines,AZQ
Star Peru,SRU
Eagle Air,EGU
Transaven,VEN
