iter	RMSE
0	6.127073805
1	5.961498777
2	5.821706688
3	5.703079811
4	5.604085199
5	5.519832263
6	5.449242439
7	5.377716224
8	5.315544776
9	5.262663496
10	5.219388675
11	5.182482394
12	5.151562934
13	5.125124925
14	5.100917623
15	5.079065559
16	5.06092152
17	5.04737915
18	5.035633533
19	5.024508321
20	5.011515624
21	5.003646406
22	4.99166195
23	4.981226864
24	4.971512664
25	4.962319708
26	4.956005491
27	4.947595851
28	4.941880921
29	4.936910651
30	4.930535326
31	4.923798275
32	4.919854846
33	4.915704496
34	4.911963506
35	4.908481719
36	4.904771826
37	4.902328042
38	4.899295747
39	4.895917803
40	4.893742942
41	4.890652767
42	4.887293498
43	4.885706421
44	4.881592129
45	4.877357761
46	4.874229029
47	4.871973647
48	4.86931451
49	4.867381307
50	4.865003489
51	4.863496405
52	4.860939795
53	4.858963289
54	4.856643944
55	4.85519059
56	4.85315791
57	4.851937071
58	4.849766662
59	4.847710146
60	4.84462155
61	4.842564344
62	4.840817312
63	4.838563158
64	4.837367576
65	4.835633446
66	4.834277376
67	4.833283632
68	4.831243923
69	4.828705794
70	4.827071555
71	4.826155293
72	4.825555496
73	4.824219291
74	4.823070902
75	4.822398352
76	4.820328924
77	4.819420238
78	4.817918532
79	4.81661013
80	4.815403286
81	4.814783936
82	4.813470831
83	4.812613024
84	4.811859074
85	4.810797877
86	4.809981302
87	4.808253758
88	4.807637136
89	4.806146195
90	4.805104591
91	4.804093992
92	4.802455385
93	4.801500713
94	4.800822626
95	4.79948115
96	4.797773739
97	4.79698817
98	4.795907449
99	4.794997928
100	4.794500147
101	4.793285857
102	4.792477633
103	4.792015819
104	4.790639442
105	4.790021544
106	4.788788105
107	4.78784081
108	4.786298203
109	4.786185292
110	4.784636267
111	4.783919392
112	4.782999225
113	4.782654856
114	4.781863658
115	4.780876529
116	4.779738612
117	4.779214531
118	4.778874568
119	4.777381728
120	4.77629105
121	4.775134199
122	4.774167977
123	4.773472024
124	4.772324521
125	4.771231635
126	4.770370989
127	4.769173031
128	4.767344528
129	4.766873786
130	4.765839218
131	4.764804342
132	4.764042735
133	4.763542141
134	4.762508371
135	4.761499658
136	4.760561729
137	4.759179391
138	4.758182557
139	4.757400073
140	4.756999607
141	4.756833236
142	4.756544589
143	4.75588514
144	4.755194242
145	4.754096184
146	4.753122298
147	4.752835638
148	4.752196364
149	4.750572291
150	4.749761871
151	4.749111973
152	4.748798446
153	4.748289352
154	4.747536623
155	4.747183637
156	4.745761325
157	4.745524523
158	4.745140884
159	4.74439077
160	4.744176828
161	4.742955189
162	4.741944334
163	4.741354248
164	4.740704686
165	4.74046227
166	4.740346364
167	4.739919298
168	4.73863142
169	4.737907303
170	4.736776212
171	4.735742031
172	4.73461519
173	4.733662271
174	4.732655344
175	4.732362834
176	4.731425675
177	4.730532877
178	4.729959527
179	4.729420667
180	4.728841076
181	4.728050294
182	4.727567646
183	4.727141904
184	4.726836623
185	4.726736455
186	4.726303483
187	4.725629389
188	4.725297844
189	4.72456967
190	4.724093231
191	4.723366696
192	4.72317988
193	4.722976867
194	4.7226749
195	4.721812057
196	4.72121021
197	4.720841595
198	4.719952674
199	4.719338501
200	4.718074436
201	4.717770671
202	4.717124983
203	4.716904976
204	4.716647791
205	4.716024619
206	4.71517605
207	4.714385373
208	4.71354038
209	4.713176725
210	4.712693199
211	4.712433861
212	4.712101854
213	4.711468519
214	4.710798418
215	4.710483226
216	4.709913034
217	4.709900162
218	4.709526361
219	4.70931495
220	4.709027321
221	4.708671239
222	4.708664164
223	4.708567512
224	4.707943782
225	4.707053785
226	4.7067918
227	4.706153119
228	4.705719803
229	4.705055903
230	4.704831299
231	4.704539031
232	4.703943159
233	4.703875938
234	4.703360483
235	4.703349269
236	4.703213884
237	4.702216252
238	4.702206977
239	4.701512191
240	4.701360723
241	4.701120504
242	4.700386024
243	4.700009355
244	4.699828004
245	4.699419047
246	4.699132384
247	4.698593495
248	4.698017702
249	4.697760142
250	4.69775563
251	4.697555569
252	4.697226862
253	4.696532177
254	4.696113168
255	4.695752792
256	4.695256619
257	4.694934799
258	4.694527482
259	4.694522856
260	4.694078692
261	4.693923294
262	4.69391502
263	4.693683541
264	4.693533398
265	4.692938633
266	4.692458089
267	4.69239934
268	4.692042358
269	4.691426141
270	4.690929145
271	4.690007743
272	4.689722542
273	4.689530569
274	4.688784191
275	4.688511374
276	4.688174164
277	4.687962798
278	4.687345335
279	4.687151786
280	4.68659075
281	4.686226245
282	4.685685268
283	4.685519246
284	4.685286806
285	4.685206203
286	4.685010578
287	4.684820198
288	4.684819753
289	4.68462612
290	4.684464829
291	4.68395421
292	4.683739305
293	4.683069432
294	4.683058532
295	4.682609499
296	4.682298224
297	4.68179714
298	4.68148461
299	4.680827327
300	4.680815617
301	4.680565338
302	4.679709228
303	4.678989983
304	4.678037288
305	4.677562037
306	4.677490912
307	4.677290267
308	4.677138186
309	4.6767885
310	4.676164022
311	4.676005514
312	4.675880737
313	4.675684372
314	4.675063372
315	4.674913224
316	4.674429831
317	4.673794633
318	4.67323228
319	4.672857069
320	4.672571028
321	4.672064492
322	4.672037919
323	4.670907037
324	4.670620927
325	4.670166849
326	4.670132247
327	4.669964717
328	4.669781166
329	4.669629463
330	4.669452665
331	4.669449266
332	4.669210642
333	4.668874409
334	4.668790453
335	4.668320859
336	4.667666868
337	4.667328834
338	4.667311188
339	4.666926632
340	4.666666355
341	4.666533192
342	4.665727853
343	4.665445983
344	4.665223575
