iter	Passed	Remaining
0	246	246198
1	384	191627
2	538	179025
3	716	178291
4	856	170427
5	1107	183460
6	1251	177575
7	1428	177139
8	1586	174640
9	1738	172112
10	1892	170185
11	1982	163241
12	2201	167107
13	2398	168891
14	2548	167373
15	2696	165864
16	2817	162934
17	2955	161220
18	3160	163181
19	3283	160908
20	3464	161526
21	3570	158711
22	3739	158864
23	3935	160058
24	4125	160884
25	4307	161383
26	4504	162321
27	4696	163044
28	4906	164271
29	5133	165980
30	5311	166022
31	5520	166990
32	5702	167097
33	5881	167106
34	6054	166929
35	6230	166838
36	6410	166836
37	6604	167208
38	6775	166947
39	6975	167417
40	7121	166575
41	7328	167160
42	7467	166185
43	7650	166220
44	7841	166414
45	8025	166432
46	8188	166040
47	8362	165850
48	8578	166483
49	8783	166892
50	9016	167772
51	9135	166542
52	9412	168186
53	9606	168296
54	9820	168730
55	9972	168103
56	10187	168545
57	10352	168135
58	10547	168226
59	10760	168587
60	11056	170196
61	11321	171276
62	11563	171978
63	11783	172330
64	11965	172122
65	12223	172986
66	12489	173922
67	12671	173678
68	12844	173305
69	13033	173165
70	13222	173014
71	13432	173126
72	13607	172800
73	13758	172165
74	13964	172228
75	14104	171478
76	14313	171575
77	14514	171566
78	14703	171422
79	14935	171762
80	15135	171721
81	15322	171541
82	15494	171183
83	15789	172177
84	15984	172065
85	16160	171751
86	16401	172120
87	16609	172138
88	16776	171726
89	16974	171634
90	17175	171565
91	17339	171138
92	17503	170704
93	17708	170681
94	17938	170883
95	18131	170736
96	18299	170359
97	18485	170139
98	18649	169733
99	18817	169359
100	18982	168963
101	19147	168576
102	19377	168756
103	19596	168832
104	19799	168768
105	20029	168926
106	20243	168949
107	20440	168819
108	20606	168442
109	20783	168154
110	20976	168002
111	21214	168201
112	21416	168110
113	21620	168034
114	21790	167689
115	21983	167528
116	22303	168326
117	22581	168788
118	22695	168021
119	22871	167725
120	23065	167559
121	23282	167555
122	23490	167487
123	23717	167554
124	23894	167258
125	24127	167358
126	24338	167300
127	24585	167488
128	24806	167490
129	25029	167504
130	25207	167215
131	25434	167250
132	25639	167135
133	25826	166905
134	26036	166829
135	26229	166634
136	26449	166610
137	26650	166466
138	26923	166772
139	27181	166970
140	27346	166601
141	27499	166155
142	27671	165834
143	27824	165401
144	28008	165155
145	28225	165097
146	28458	165138
147	28621	164767
148	28841	164726
149	29038	164553
150	29276	164607
151	29532	164762
152	29847	165234
153	30066	165169
154	30249	164907
155	30394	164441
156	30609	164354
157	30766	163956
158	30928	163590
159	31119	163378
160	31277	162994
161	31435	162611
162	31633	162437
163	31849	162356
164	32078	162336
165	32326	162411
166	32510	162162
167	32801	162443
168	33002	162280
169	33221	162197
170	33420	162018
171	33654	162013
172	33864	161882
173	34039	161587
174	34265	161536
175	34443	161258
176	34627	161009
177	34935	161332
178	35120	161082
179	35315	160883
180	35519	160721
181	35720	160545
182	35934	160427
183	36119	160180
184	36309	159956
185	36453	159532
186	36634	159271
187	36778	158851
188	36992	158735
189	37159	158414
190	37326	158100
191	37527	157928
192	37692	157605
193	37884	157397
194	38071	157165
195	38304	157128
196	38544	157112
197	38708	156790
198	38895	156557
199	39111	156445
200	39388	156574
201	39535	156186
202	39771	156146
203	39995	156061
204	40136	155651
205	40370	155603
206	40570	155423
207	40728	155082
208	40943	154958
209	41119	154686
210	41370	154698
211	41519	154327
212	41654	153906
213	41862	153757
214	42060	153570
215	42261	153394
216	42491	153323
217	42698	153166
218	42883	152930
219	43042	152604
220	43230	152381
221	43475	152359
222	43642	152065
223	43824	151819
224	44027	151651
225	44287	151673
226	44442	151338
227	44651	151187
228	44801	150838
229	45054	150836
230	45258	150667
231	45450	150455
232	45702	150447
233	45854	150103
234	46098	150064
235	46266	149778
236	46427	149468
237	46640	149327
238	46772	148929
239	46971	148743
240	47153	148502
241	47339	148279
242	47578	148217
243	47781	148044
244	47954	147777
245	48141	147556
246	48330	147338
247	48564	147258
248	48770	147093
249	48992	146977
250	49153	146677
251	49391	146607
252	49556	146319
253	49813	146301
254	50046	146215
255	50260	146069
256	50485	145957
257	50708	145835
258	51051	146059
259	51218	145776
260	51396	145524
261	51604	145359
262	51762	145053
263	51987	144935
264	52157	144663
265	52366	144500
266	52565	144310
267	52786	144178
268	53016	144070
269	53193	143818
270	53396	143637
271	53617	143504
272	53816	143312
273	54012	143113
274	54243	143005
275	54490	142939
276	54773	142965
277	54956	142728
278	55203	142659
279	55401	142461
280	55635	142354
281	55855	142213
