NMT,Hour,SEL,SEL,SEL,Leq,Leq,EPNL,EPNL,LASmax,LASmax,LAZ,LAZ
,,mean,max,count,mean,max,mean,max,mean,max,mean,max
MP01,0.0,78.69320175438597,98.7,456,65.87214912280702,88.0,78.84802631578947,99.6,70.07828947368421,94.7,69.61315789473684,90.5
MP01,1.0,77.99479638009049,98.4,442,65.28167420814479,82.3,78.24864253393666,98.3,69.4081447963801,89.3,69.00656108597285,89.8
MP01,2.0,77.0085501858736,96.9,269,64.43271375464684,80.2,77.21449814126395,96.4,68.27732342007434,85.5,67.94981412639405,88.4
MP01,3.0,76.0544776119403,100.4,268,63.35559701492537,81.8,76.34440298507462,98.9,67.23731343283582,86.8,67.06455223880597,92.7
MP01,4.0,76.61078717201165,92.2,343,64.27521865889213,75.6,77.1134110787172,94.0,67.80524781341109,81.0,67.82274052478134,85.1
MP01,5.0,76.48954081632654,96.5,392,64.65051020408163,78.4,77.16938775510205,96.9,67.93903061224489,85.4,67.60816326530613,89.1
MP01,6.0,81.87630421118793,100.2,1591,69.57630421118793,86.8,83.19346323067252,102.5,73.10201131363922,92.4,72.35241986172218,90.7
MP01,7.0,83.6318047337278,99.9,1352,71.46028106508876,85.3,85.34534023668638,101.1,74.94289940828402,89.0,74.10251479289941,89.0
MP01,8.0,82.19798807749628,98.0,1342,70.33070044709389,85.2,83.99605067064083,100.1,73.94694485842027,91.3,72.60983606557376,90.0
MP01,9.0,79.1810443490701,96.9,1398,67.26580829756796,78.4,81.09971387696709,98.3,71.1469957081545,86.3,69.59084406294707,88.4
MP01,10.0,78.98364269141531,107.5,1724,66.86293503480279,89.0,80.86977958236659,111.5,71.08573085846868,99.2,69.26351508120649,96.9
MP01,11.0,79.52254566210046,106.7,1752,67.53527397260274,88.3,81.42539954337899,107.1,71.86295662100456,102.2,69.73995433789953,93.8
MP01,12.0,80.25763645468203,129.3,1997,68.32403605408112,112.3,82.09734601902854,127.8,72.79394091136705,117.5,70.44697045568353,120.5
MP01,13.0,79.51976796073181,103.5,2241,67.83319946452477,86.7,81.49553770638109,108.7,72.1330655957162,94.8,69.6557786702365,97.6
MP01,14.0,78.56555615260612,102.3,1861,66.98151531434713,85.4,80.59484148307362,107.1,71.07512090274045,93.3,68.78398710370769,94.1
MP01,15.0,78.4841798941799,127.7,1890,66.9368253968254,111.3,80.43798941798941,126.1,70.90735449735449,111.5,68.81058201058201,116.0
MP01,16.0,78.69039395574742,101.1,1853,66.97587695628711,84.5,80.60118726389638,106.3,71.06103615758231,90.2,69.07533729087966,92.6
MP01,17.0,79.04347826086956,103.3,1656,67.32119565217391,85.1,80.97367149758453,105.3,71.45036231884058,91.5,69.40809178743962,96.5
MP01,18.0,79.07425802543914,109.0,1651,67.35511811023622,92.4,81.0205935796487,113.8,71.35057540884313,94.9,69.53391883706844,99.6
MP01,19.0,79.0429888084266,99.7,1519,67.08038183015142,83.8,80.6784068466096,103.4,71.15826201448321,89.5,69.62047399605004,91.2
MP01,20.0,78.95918699186993,97.8,1230,66.93325203252031,80.7,80.35821138211382,101.3,71.03170731707317,87.0,69.4950406504065,89.3
